pic_mean,pic_origin,RT,S,R,AC,s
2.864864865,Taiwan,1.289,unpleasant,pleasant,0,48 Germany
2.864864865,Taiwan,1.826,unpleasant,unpleasant,1,22 Germany
2.864864865,Taiwan,1.741,unpleasant,unpleasant,1,74 Germany
2.864864865,Taiwan,3.587,unpleasant,pleasant,0,72 Germany
2.864864865,Taiwan,1.684,unpleasant,pleasant,0,46 Germany
2.864864865,Taiwan,4.365,unpleasant,unpleasant,1,28 Germany
2.864864865,Taiwan,1.193,unpleasant,unpleasant,1,40 Germany
2.864864865,Taiwan,2.823,unpleasant,unpleasant,1,14 Germany
2.864864865,Taiwan,0.767,unpleasant,unpleasant,1,78 Germany
2.864864865,Taiwan,2.641,unpleasant,unpleasant,1,36 Germany
2.864864865,Taiwan,1.362,unpleasant,unpleasant,1,70 Germany
2.864864865,Taiwan,3.315,unpleasant,pleasant,0,32 Germany
2.864864865,Taiwan,2,unpleasant,pleasant,0,12 Germany
2.864864865,Taiwan,4.115,unpleasant,pleasant,0,60 Germany
2.864864865,Taiwan,4.578,unpleasant,pleasant,0,26 Germany
2.864864865,Taiwan,1.947,unpleasant,unpleasant,1,8 Germany
2.864864865,Taiwan,1.806,unpleasant,unpleasant,1,6 Germany
2.864864865,Taiwan,2.276,unpleasant,unpleasant,1,56 Germany
2.864864865,Taiwan,1.652,unpleasant,unpleasant,1,66 Germany
2.864864865,Taiwan,3.793,unpleasant,unpleasant,1,64 Germany
2.864864865,Taiwan,0.705,unpleasant,pleasant,0,54 Germany
2.864864865,Taiwan,1.357,unpleasant,unpleasant,1,30 Germany
2.864864865,Taiwan,1.529,unpleasant,unpleasant,1,82 Germany
2.864864865,Taiwan,1.928,unpleasant,unpleasant,1,2 Germany
2.864864865,Taiwan,0.775,unpleasant,unpleasant,1,50 Germany
2.864864865,Taiwan,1.99,unpleasant,unpleasant,1,20 Germany
2.864864865,Taiwan,1.123,unpleasant,unpleasant,1,18 Germany
2.864864865,Taiwan,2.462,unpleasant,unpleasant,1,4 Germany
2.864864865,Taiwan,4.605,unpleasant,unpleasant,1,34 Germany
2.864864865,Taiwan,1.349,unpleasant,unpleasant,1,38 Germany
2.864864865,Taiwan,0.772,unpleasant,unpleasant,1,10 Germany
2.864864865,Taiwan,1.617,unpleasant,unpleasant,1,16 Germany
2.864864865,Taiwan,1.974,unpleasant,unpleasant,1,68 Germany
2.864864865,Taiwan,2.306,unpleasant,unpleasant,1,58 Germany
2.864864865,Taiwan,4.89,unpleasant,pleasant,0,52 Germany
2.864864865,Taiwan,1.12,unpleasant,unpleasant,1,42 Germany
2.864864865,Taiwan,2.871,unpleasant,unpleasant,1,76 Germany
1.945945946,Taiwan,0.756,unpleasant,unpleasant,1,46 Germany
1.945945946,Taiwan,0.788,unpleasant,unpleasant,1,18 Germany
1.945945946,Taiwan,1.362,unpleasant,unpleasant,1,22 Germany
1.945945946,Taiwan,0.959,unpleasant,unpleasant,1,16 Germany
1.945945946,Taiwan,1.059,unpleasant,unpleasant,1,6 Germany
1.945945946,Taiwan,1.446,unpleasant,unpleasant,1,56 Germany
1.945945946,Taiwan,0.716,unpleasant,unpleasant,1,82 Germany
1.945945946,Taiwan,1.069,unpleasant,unpleasant,1,40 Germany
